timestamp,SC(uS),Turb(FNU),DO(mg/L)
1/27/2017 0:00,467,8.3,10.4
1/27/2017 0:15,467,NaN,10.4
1/27/2017 0:30,467,7.8,10.4
1/27/2017 0:45,467,8,10.4
1/27/2017 1:00,468,7.5,10.4
1/27/2017 1:15,468,8.6,10.4
1/27/2017 1:30,469,8.7,10.4
1/27/2017 1:45,468,NaN,10.4
1/27/2017 2:00,469,7.8,10.4
1/27/2017 2:15,469,8.5,10.4
1/27/2017 2:30,469,NaN,10.4
1/27/2017 2:45,469,11.5,10.4
1/27/2017 3:00,470,11.2,10.4
1/27/2017 3:15,470,9.1,10.4
1/27/2017 3:30,470,6.9,10.4
1/27/2017 3:45,470,7.4,10.4
1/27/2017 4:00,470,7.6,10.4
1/27/2017 4:15,471,NaN,10.4
1/27/2017 4:30,471,NaN,10.4
1/27/2017 4:45,471,7.7,10.4
1/27/2017 5:00,471,9.8,10.4
1/27/2017 5:15,472,NaN,10.5
1/27/2017 5:30,472,6.3,10.5
1/27/2017 5:45,472,7.4,10.5
1/27/2017 6:00,473,NaN,10.5
1/27/2017 6:15,472,8,10.5
1/27/2017 6:30,473,8.8,10.5
1/27/2017 6:45,473,NaN,10.5
1/27/2017 7:00,473,6.3,10.5
1/27/2017 7:15,474,6.1,10.5
1/27/2017 7:30,474,6.1,10.5
1/27/2017 7:45,474,5.9,10.5
1/27/2017 8:00,474,5.8,10.5
1/27/2017 8:15,474,NaN,10.5
1/27/2017 8:30,475,5.5,10.6
1/27/2017 8:45,475,6.7,10.6
1/27/2017 9:00,475,5.4,10.6
1/27/2017 9:15,475,5.9,10.6
1/27/2017 9:30,476,5.6,10.7
1/27/2017 9:45,476,6.8,10.8
1/27/2017 10:00,476,5.5,10.8
1/27/2017 10:15,476,5.3,10.9
1/27/2017 10:30,476,6.4,11
1/27/2017 10:45,476,4.8,11
1/27/2017 11:00,476,5.3,11.1
1/27/2017 11:30,478,4.3,11.2
1/27/2017 11:45,478,4.1,11.3
1/27/2017 12:00,478,3.7,11.3
1/27/2017 12:15,478,4.6,11.4
1/27/2017 12:30,479,4.2,11.4
1/27/2017 12:45,478,3.8,11.5
1/27/2017 13:00,478,3.8,11.6
1/27/2017 13:15,478,3.9,11.6
1/27/2017 13:30,479,3.5,11.7
1/27/2017 13:45,479,3.6,11.7
1/27/2017 14:00,479,3.7,11.7
1/27/2017 14:15,479,3.8,11.8
1/27/2017 14:30,479,4.8,11.8
1/27/2017 14:45,479,4.2,11.8
1/27/2017 15:00,479,4.5,11.8
1/27/2017 15:15,479,3.5,11.9
1/27/2017 15:30,479,5.5,11.9
1/27/2017 15:45,479,3.4,11.9
1/27/2017 16:00,479,4.8,11.9
1/27/2017 16:15,479,3.9,11.9
1/27/2017 16:30,480,3.8,11.9
1/27/2017 16:45,480,3.8,11.9
1/27/2017 17:00,480,3.7,11.8
1/27/2017 17:15,480,3.6,11.8
1/27/2017 17:30,480,3.6,11.7
1/27/2017 17:45,480,3.5,11.7
1/27/2017 18:00,480,4.1,11.6
1/27/2017 18:15,480,4.6,11.6
1/27/2017 18:30,481,4.1,11.5
1/27/2017 18:45,481,NaN,11.5
1/27/2017 19:00,481,4.6,11.5
1/27/2017 19:15,481,4.2,11.4
1/27/2017 19:30,481,4,11.4
1/27/2017 19:45,482,3.8,11.4
1/27/2017 20:00,482,4.5,11.3
1/27/2017 20:15,482,4,11.3
1/27/2017 20:30,482,3.8,11.3
1/27/2017 20:45,482,4,11.2
1/27/2017 21:00,482,5,11.2
1/27/2017 21:15,482,4.5,11.2
1/27/2017 21:30,483,4.1,11.1
1/27/2017 21:45,483,4.3,11.1
1/27/2017 22:00,483,4.9,11.1
1/27/2017 22:15,483,4.8,11.1
1/27/2017 22:30,484,4.4,11.1
1/27/2017 22:45,484,3.7,11
1/27/2017 23:00,484,3.7,11
1/27/2017 23:15,484,3.7,11
1/27/2017 23:30,484,3.9,11
1/27/2017 23:45,484,3.6,11
1/28/2017 0:00,485,4.2,11
1/28/2017 0:15,485,4.9,11
1/28/2017 0:30,485,4,11
1/28/2017 0:45,485,3.5,11
